"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-03-01 00:00","2018","03","01","00:00","1.8","","-0.1","","87","","35","","20","","19.3","","98.93","","","","","","NA"
"2018-03-01 01:00","2018","03","01","01:00","1.6","","-0.4","","86","","34","","19","","19.3","","98.97","","","","","","Cloudy"
"2018-03-01 02:00","2018","03","01","02:00","1.3","","-0.7","","87","","34","","17","","24.1","","98.99","","","","","","NA"
"2018-03-01 03:00","2018","03","01","03:00","1.1","","-0.9","","86","","36","","15","","24.1","","99.03","","","","","","NA"
"2018-03-01 04:00","2018","03","01","04:00","0.5","","-1.4","","87","","1","","11","","24.1","","98.98","","","","","","Mostly Cloudy"
"2018-03-01 05:00","2018","03","01","05:00","-0.2","","-1.8","","89","","4","","3","","24.1","","99.00","","","","-1","","NA"
"2018-03-01 06:00","2018","03","01","06:00","-1.9","","-3.0","","92","","36","","9","","24.1","","99.04","","","","-5","","NA"
"2018-03-01 07:00","2018","03","01","07:00","-0.2","","-2.2","","87","","5","","10","","24.1","","99.10","","","","-4","","Mostly Cloudy"
"2018-03-01 08:00","2018","03","01","08:00","0.5","","-2.1","","83","","4","","12","","24.1","","99.09","","","","","","NA"
"2018-03-01 09:00","2018","03","01","09:00","1.1","","-2.5","","77","","6","","14","","24.1","","99.14","","","","","","NA"
"2018-03-01 10:00","2018","03","01","10:00","2.0","","-2.9","","70","","7","","21","","24.1","","99.09","","","","","","Cloudy"
"2018-03-01 11:00","2018","03","01","11:00","3.0","","-2.5","","67","","9","","13","","24.1","","99.05","","","","","","NA"
"2018-03-01 12:00","2018","03","01","12:00","3.2","","-2.8","","65","","8","","17","","24.1","","99.01","","","","","","NA"
"2018-03-01 13:00","2018","03","01","13:00","3.7","","-2.6","","63","","8","","20","","24.1","","98.84","","","","","","Cloudy"
"2018-03-01 14:00","2018","03","01","14:00","4.2","","-2.7","","60","","8","","18","","24.1","","98.75","","","","","","NA"
"2018-03-01 15:00","2018","03","01","15:00","2.7","","-1.5","","74","","12","","17","","24.1","","98.66","","","","","","NA"
"2018-03-01 16:00","2018","03","01","16:00","2.2","","-1.9","","74","","11","","15","","24.1","","98.63","","","","","","Cloudy"
"2018-03-01 17:00","2018","03","01","17:00","2.1","","-1.8","","75","","6","","10","","24.1","","98.63","","","","","","NA"
"2018-03-01 18:00","2018","03","01","18:00","2.0","","-1.6","","77","","2","","12","","24.1","","98.56","","","","","","NA"
"2018-03-01 19:00","2018","03","01","19:00","2.8","","-3.3","","64","","2","","11","","24.1","","98.53","","","","","","Mostly Cloudy"
"2018-03-01 20:00","2018","03","01","20:00","3.5","","-5.4","","52","","2","","17","","24.1","","98.47","","","","","","NA"
"2018-03-01 21:00","2018","03","01","21:00","3.4","","-6.4","","49","","3","","19","","24.1","","98.44","","","","","","NA"
"2018-03-01 22:00","2018","03","01","22:00","2.7","","-6.7","","50","","3","","26","","24.1","","98.49","","","","","","Cloudy"
"2018-03-01 23:00","2018","03","01","23:00","1.5","","-5.0","","62","","3","","29","","6.4","","98.52","","","","","","Snow"
"2018-03-02 00:00","2018","03","02","00:00","0.6","","-4.2","","70","","1","","23","","6.4","","98.54","","","","","","Snow"
"2018-03-02 01:00","2018","03","02","01:00","-0.2","","-3.5","","78","","3","","29","","2.8","","98.60","","","","-7","","Snow"
"2018-03-02 02:00","2018","03","02","02:00","0.3","","-5.2","","66","","35","","26","","12.9","","98.65","","","","","","Snow"
"2018-03-02 03:00","2018","03","02","03:00","-0.7","","-4.5","","75","","36","","31","","9.7","","98.70","","","","-7","","Snow"
"2018-03-02 04:00","2018","03","02","04:00","-0.3","","-4.9","","72","","35","","22","","24.1","","98.81","","","","-6","","Cloudy"
"2018-03-02 05:00","2018","03","02","05:00","-0.4","","-5.7","","68","","36","","34","","24.1","","98.93","","","","-7","","NA"
"2018-03-02 06:00","2018","03","02","06:00","-0.4","","-5.5","","69","","36","","29","","24.1","","99.06","","","","-7","","NA"
"2018-03-02 07:00","2018","03","02","07:00","-0.5","","-5.7","","68","","35","","26","","24.1","","99.16","","","","-7","","Cloudy"
"2018-03-02 08:00","2018","03","02","08:00","-0.3","","-5.5","","68","","34","","24","","24.1","","99.26","","","","-6","","NA"
"2018-03-02 09:00","2018","03","02","09:00","-0.2","","-5.8","","66","","35","","40","","24.1","","99.31","","","","-8","","NA"
"2018-03-02 10:00","2018","03","02","10:00","0.1","","-5.7","","65","","34","","29","","24.1","","99.37","","","","","","Mostly Cloudy"
"2018-03-02 11:00","2018","03","02","11:00","1.3","","-5.9","","59","","34","","34","","24.1","","99.47","","","","","","NA"
"2018-03-02 12:00","2018","03","02","12:00","2.0","","-6.2","","55","","36","","41","","24.1","","99.54","","","","","","NA"
"2018-03-02 13:00","2018","03","02","13:00","1.8","","-6.5","","54","","36","","38","","24.1","","99.56","","","","","","Mostly Cloudy"
"2018-03-02 14:00","2018","03","02","14:00","1.6","","-6.6","","54","","34","","35","","24.1","","99.59","","","","","","NA"
"2018-03-02 15:00","2018","03","02","15:00","1.6","","-6.4","","55","","34","","27","","24.1","","99.66","","","","","","NA"
"2018-03-02 16:00","2018","03","02","16:00","1.2","","-5.7","","60","","32","","32","","24.1","","99.76","","","","","","Mostly Cloudy"
"2018-03-02 17:00","2018","03","02","17:00","0.9","","-6.1","","60","","33","","26","","24.1","","99.86","","","","","","NA"
"2018-03-02 18:00","2018","03","02","18:00","0.2","","-6.1","","63","","32","","27","","24.1","","99.97","","","","","","NA"
"2018-03-02 19:00","2018","03","02","19:00","-0.4","","-6.5","","64","","33","","23","","24.1","","100.03","","","","-6","","Clear"
"2018-03-02 20:00","2018","03","02","20:00","-0.8","","-6.5","","65","","34","","20","","24.1","","100.11","","","","-6","","NA"
"2018-03-02 21:00","2018","03","02","21:00","-1.1","","-6.1","","69","","34","","19","","24.1","","100.13","","","","-6","","NA"
"2018-03-02 22:00","2018","03","02","22:00","-1.3","","-6.3","","69","","34","","21","","24.1","","100.14","","","","-7","","Mainly Clear"
"2018-03-02 23:00","2018","03","02","23:00","-1.6","","-7.1","","66","","35","","19","","24.1","","100.17","","","","-7","","NA"
"2018-03-03 00:00","2018","03","03","00:00","-1.9","","-7.5","","65","","35","","17","","24.1","","100.19","","","","-7","","NA"
"2018-03-03 01:00","2018","03","03","01:00","-2.2","","-8.0","","64","","35","","18","","24.1","","100.22","","","","-8","","Clear"
"2018-03-03 02:00","2018","03","03","02:00","-2.5","","-8.3","","65","","34","","19","","24.1","","100.27","","","","-8","","NA"
"2018-03-03 03:00","2018","03","03","03:00","-2.7","","-8.5","","64","","34","","21","","24.1","","100.32","","","","-9","","NA"
"2018-03-03 04:00","2018","03","03","04:00","-3.0","","-8.7","","65","","35","","14","","24.1","","100.34","","","","-8","","Clear"
"2018-03-03 05:00","2018","03","03","05:00","-3.2","","-8.6","","66","","34","","19","","24.1","","100.39","","","","-9","","NA"
"2018-03-03 06:00","2018","03","03","06:00","-3.6","","-8.6","","69","","35","","20","","24.1","","100.43","","","","-10","","NA"
"2018-03-03 07:00","2018","03","03","07:00","-4.0","","-8.8","","70","","35","","19","","24.1","","100.47","","","","-10","","Mainly Clear"
"2018-03-03 08:00","2018","03","03","08:00","-2.7","","-8.2","","66","","34","","22","","24.1","","100.52","","","","-9","","NA"
"2018-03-03 09:00","2018","03","03","09:00","-1.2","","-8.0","","60","","35","","29","","24.1","","100.55","","","","-8","","NA"
"2018-03-03 10:00","2018","03","03","10:00","-0.5","","-7.8","","58","","35","","33","","24.1","","100.59","","","","-7","","Clear"
"2018-03-03 11:00","2018","03","03","11:00","0.6","","-7.0","","57","","35","","32","","24.1","","100.56","","","","","","NA"
"2018-03-03 12:00","2018","03","03","12:00","1.4","","-6.8","","55","","34","","27","","24.1","","100.55","","","","","","NA"
"2018-03-03 13:00","2018","03","03","13:00","2.2","","-6.7","","52","","1","","27","","24.1","","100.52","","","","","","Clear"
"2018-03-03 14:00","2018","03","03","14:00","2.7","","-6.7","","50","","36","","29","","24.1","","100.48","","","","","","NA"
"2018-03-03 15:00","2018","03","03","15:00","3.1","","-6.6","","49","","36","","27","","24.1","","100.49","","","","","","NA"
"2018-03-03 16:00","2018","03","03","16:00","2.8","","-7.1","","48","","35","","29","","24.1","","100.49","","","","","","Clear"
"2018-03-03 17:00","2018","03","03","17:00","1.7","","-6.5","","54","","31","","24","","24.1","","100.53","","","","","","NA"
"2018-03-03 18:00","2018","03","03","18:00","-0.2","","-6.6","","62","","32","","28","","24.1","","100.58","","","","-7","","NA"
"2018-03-03 19:00","2018","03","03","19:00","-1.1","","-6.9","","65","","33","","24","","24.1","","100.62","","","","-7","","Clear"
"2018-03-03 20:00","2018","03","03","20:00","-1.5","","-6.9","","67","","33","","25","","24.1","","100.64","","","","-8","","NA"
"2018-03-03 21:00","2018","03","03","21:00","-1.7","","-6.4","","71","","33","","24","","24.1","","100.65","","","","-8","","NA"
"2018-03-03 22:00","2018","03","03","22:00","-1.6","","-7.1","","66","","35","","24","","24.1","","100.63","","","","-8","","Clear"
"2018-03-03 23:00","2018","03","03","23:00","-1.4","","-9.1","","56","","36","","28","","24.1","","100.61","","","","-8","","NA"
"2018-03-04 00:00","2018","03","04","00:00","-1.6","","-10.0","","53","","36","","34","","24.1","","100.57","","","","-9","","NA"
"2018-03-04 01:00","2018","03","04","01:00","-2.2","","-10.6","","53","","36","","22","","24.1","","100.55","","","","-8","","Clear"
"2018-03-04 02:00","2018","03","04","02:00","-2.6","","-10.9","","53","","36","","18","","24.1","","100.60","","","","-8","","NA"
"2018-03-04 03:00","2018","03","04","03:00","-3.2","","-11.1","","55","","1","","10","","24.1","","100.59","","","","-7","","NA"
"2018-03-04 04:00","2018","03","04","04:00","-3.5","","-11.2","","56","","35","","34","","24.1","","100.62","","","","-11","","Clear"
"2018-03-04 05:00","2018","03","04","05:00","-4.2","","-11.0","","59","","34","","22","","24.1","","100.69","","","","-11","","NA"
"2018-03-04 06:00","2018","03","04","06:00","-4.6","","-11.3","","60","","34","","20","","24.1","","100.75","","","","-11","","NA"
"2018-03-04 07:00","2018","03","04","07:00","-4.9","","-11.5","","60","","34","","23","","24.1","","100.77","","","","-12","","Clear"
