"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-12-01 00:00","2018","12","01","00:00","1.3","","-1.6","","81","","36","","3","","14.5","","99.73","","","","","","NA"
"2018-12-01 01:00","2018","12","01","01:00","0.9","","-2.0","","81","","32","","5","","14.5","","99.67","","","","","","Cloudy"
"2018-12-01 02:00","2018","12","01","02:00","0.8","","-1.9","","82","","28","","6","","14.5","","99.70","","","","","","NA"
"2018-12-01 03:00","2018","12","01","03:00","0.5","","-2.1","","83","","34","","3","","12.9","","99.72","","","","","","NA"
"2018-12-01 04:00","2018","12","01","04:00","0.3","","-2.2","","84","","36","","1","","11.3","","99.76","","","","","","Cloudy"
"2018-12-01 05:00","2018","12","01","05:00","0.3","","-2.2","","83","","17","","4","","12.9","","99.78","","","","","","NA"
"2018-12-01 06:00","2018","12","01","06:00","0.1","","-2.4","","83","","34","","5","","9.7","","99.79","","","","","","Fog"
"2018-12-01 07:00","2018","12","01","07:00","-0.1","","-2.3","","86","","33","","4","","9.7","","99.77","","","","-1","","Fog"
"2018-12-01 08:00","2018","12","01","08:00","0.3","","-1.7","","87","","7","","7","","11.3","","99.72","","","","","","NA"
"2018-12-01 09:00","2018","12","01","09:00","1.0","","-1.2","","85","","7","","7","","11.3","","99.68","","","","","","NA"
